IDfg,Season,Name,Age,G,AB,PA,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,LD%,GB%,FB%,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,CStr%,CSW%,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,F-Strike%,SwStr%,Zone%,Clutch,UBR,WAR
19709,2021,Fernando Tatis Jr.,22,130,478,546,0.114,0.28,0.41,0.364,0.611,0.975,0.328,0.324,0.198,0.402,0.39899999999999997,0.321,0.48,0.304,0.21600000000000003,0.149,0.371,0.48,93.9,13.8,70,0.213,116.6,183,0.556,0.102,0.27,0.33299999999999996,0.8059999999999999,0.479,0.802,0.597,0.168,0.381,-0.8,5.1,7.3
20123,2021,Juan Soto,22,151,502,654,0.222,0.142,1.56,0.465,0.534,0.999,0.221,0.332,0.18600000000000003,0.527,0.287,0.244,0.312,0.435,0.254,0.159,0.449,0.391,93.0,5.8,55,0.133,116.6,217,0.524,0.2,0.263,0.151,0.629,0.626,0.887,0.537,0.063,0.41600000000000004,-0.95,0.5,7.1
16252,2021,Trea Turner,28,148,595,646,0.063,0.17,0.37,0.375,0.536,0.911,0.208,0.362,0.21100000000000002,0.452,0.337,0.17,0.376,0.374,0.25,0.17,0.48100000000000004,0.35,89.6,11.4,36,0.07400000000000001,112.2,225,0.46,0.16,0.262,0.307,0.736,0.631,0.8809999999999999,0.6659999999999999,0.102,0.431,-0.64,3.3,6.9
13510,2021,Jose Ramirez,28,152,552,636,0.113,0.13699999999999998,0.83,0.355,0.538,0.893,0.272,0.256,0.192,0.35600000000000004,0.452,0.17,0.568,0.27699999999999997,0.155,0.183,0.419,0.39799999999999996,90.0,18.3,52,0.111,112.6,199,0.423,0.17600000000000002,0.233,0.275,0.657,0.765,0.932,0.511,0.055999999999999994,0.40399999999999997,1.2,2.5,6.7
11579,2021,Bryce Harper,28,141,488,599,0.16699999999999998,0.22399999999999998,0.75,0.429,0.615,1.044,0.305,0.359,0.21899999999999997,0.40700000000000003,0.373,0.267,0.381,0.344,0.275,0.128,0.439,0.433,92.5,13.3,65,0.18100000000000002,116.3,177,0.49200000000000005,0.11900000000000001,0.263,0.294,0.745,0.542,0.789,0.5529999999999999,0.14400000000000002,0.39399999999999996,-1.31,-2.5,6.6
19611,2021,Vladimir Guerrero Jr.,22,161,604,698,0.12300000000000001,0.158,0.78,0.401,0.601,1.002,0.29,0.313,0.188,0.44799999999999995,0.365,0.265,0.39899999999999997,0.355,0.24600000000000002,0.107,0.47600000000000003,0.41700000000000004,95.1,9.4,75,0.151,117.4,274,0.552,0.127,0.25,0.28300000000000003,0.7609999999999999,0.5579999999999999,0.84,0.628,0.124,0.397,-1.06,-0.1,6.3
5343,2021,Brandon Crawford,34,138,483,549,0.102,0.191,0.53,0.373,0.522,0.895,0.224,0.334,0.188,0.39799999999999996,0.414,0.152,0.368,0.371,0.261,0.154,0.53,0.316,88.8,14.7,44,0.115,109.8,165,0.431,0.114,0.256,0.321,0.795,0.5579999999999999,0.821,0.608,0.142,0.41200000000000003,0.85,-1.5,6.3
12533,2021,Marcus Semien,30,162,652,724,0.091,0.20199999999999999,0.45,0.334,0.538,0.873,0.273,0.276,0.20800000000000002,0.31,0.48100000000000004,0.184,0.513,0.299,0.18899999999999997,0.151,0.489,0.36,89.7,20.3,50,0.098,109.5,210,0.413,0.158,0.245,0.258,0.716,0.635,0.8909999999999999,0.595,0.087,0.42100000000000004,-1.35,1.4,6.3
14162,2021,Carlos Correa,26,148,555,640,0.11699999999999999,0.18100000000000002,0.65,0.366,0.485,0.85,0.205,0.308,0.23600000000000002,0.41600000000000004,0.348,0.168,0.36700000000000005,0.35600000000000004,0.27699999999999997,0.16899999999999998,0.466,0.365,90.2,12.1,42,0.094,116.4,189,0.425,0.195,0.27699999999999997,0.27,0.628,0.654,0.894,0.5770000000000001,0.08199999999999999,0.42100000000000004,-0.39,1.0,6.2
19326,2021,Bryan Reynolds,26,159,559,646,0.11599999999999999,0.184,0.63,0.39,0.522,0.912,0.22,0.345,0.256,0.389,0.355,0.153,0.42200000000000004,0.341,0.237,0.151,0.503,0.345,89.4,13.4,46,0.10400000000000001,112.7,181,0.408,0.12300000000000001,0.231,0.284,0.782,0.5870000000000001,0.878,0.568,0.10800000000000001,0.409,-0.03,2.6,6.0
17929,2021,Cedric Mullins II,26,159,602,675,0.087,0.185,0.47,0.36,0.518,0.878,0.228,0.322,0.19899999999999998,0.39,0.41100000000000003,0.155,0.436,0.324,0.24100000000000002,0.149,0.519,0.332,89.4,14.8,39,0.081,109.7,189,0.391,0.17300000000000001,0.255,0.3,0.645,0.7170000000000001,0.878,0.591,0.08199999999999999,0.436,-0.98,0.4,6.0
19339,2021,Nicky Lopez,26,151,497,565,0.087,0.131,0.66,0.365,0.378,0.744,0.078,0.347,0.214,0.5529999999999999,0.233,0.021,0.322,0.38799999999999996,0.29,0.16,0.589,0.251,86.8,2.8,3,0.006999999999999999,107.9,116,0.265,0.191,0.251,0.282,0.643,0.75,0.9279999999999999,0.62,0.06,0.447,0.84,4.3,5.9
15640,2021,Aaron Judge,29,148,550,633,0.11800000000000001,0.25,0.47,0.373,0.544,0.916,0.256,0.332,0.23199999999999998,0.413,0.355,0.27699999999999997,0.363,0.37,0.267,0.086,0.446,0.469,95.8,11.6,70,0.17600000000000002,119.0,230,0.579,0.17,0.28300000000000003,0.27,0.675,0.5670000000000001,0.8420000000000001,0.594,0.113,0.382,0.8,-0.4,5.6
15711,2021,Tyler O'Neill,26,138,482,537,0.071,0.313,0.23,0.352,0.56,0.912,0.274,0.366,0.23,0.36200000000000004,0.409,0.262,0.381,0.365,0.255,0.142,0.431,0.428,93.0,17.8,57,0.179,113.1,166,0.522,0.147,0.309,0.321,0.7509999999999999,0.514,0.773,0.609,0.162,0.41100000000000003,-0.87,3.3,5.5
9241,2021,Starling Marte,32,120,467,526,0.08199999999999999,0.188,0.43,0.383,0.458,0.841,0.148,0.372,0.21100000000000002,0.5479999999999999,0.24100000000000002,0.136,0.38,0.35600000000000004,0.264,0.18899999999999997,0.483,0.32899999999999996,87.6,4.6,31,0.084,112.9,146,0.39399999999999996,0.15,0.257,0.342,0.7120000000000001,0.645,0.879,0.6409999999999999,0.10800000000000001,0.39399999999999996,1.08,3.9,5.3
5417,2021,Jose Altuve,31,146,601,678,0.09699999999999999,0.134,0.73,0.35,0.489,0.839,0.211,0.28,0.223,0.389,0.387,0.158,0.544,0.313,0.14300000000000002,0.19,0.503,0.308,87.7,15.6,33,0.064,109.1,178,0.344,0.177,0.24600000000000002,0.34700000000000003,0.667,0.772,0.919,0.636,0.07,0.385,0.05,3.0,5.3
19755,2021,Shohei Ohtani,26,158,537,639,0.15,0.29600000000000004,0.51,0.372,0.592,0.965,0.335,0.303,0.214,0.38,0.406,0.32899999999999996,0.48,0.3,0.22,0.109,0.44,0.451,93.6,16.8,78,0.223,119.0,187,0.534,0.14400000000000002,0.294,0.302,0.72,0.528,0.773,0.5710000000000001,0.15,0.375,1.08,0.4,5.1
19612,2021,Bo Bichette,23,159,640,690,0.057999999999999996,0.19899999999999998,0.29,0.343,0.484,0.828,0.186,0.339,0.205,0.491,0.304,0.188,0.294,0.371,0.335,0.14800000000000002,0.489,0.363,91.4,7.3,50,0.099,115.5,241,0.475,0.10400000000000001,0.21899999999999997,0.425,0.8079999999999999,0.687,0.889,0.6459999999999999,0.11599999999999999,0.401,0.43,2.4,5.1
14344,2021,Matt Olson,27,156,565,673,0.131,0.168,0.78,0.371,0.54,0.911,0.269,0.269,0.165,0.39799999999999996,0.43700000000000006,0.193,0.40399999999999997,0.34600000000000003,0.251,0.19399999999999998,0.44299999999999995,0.363,91.6,16.2,59,0.127,115.3,224,0.484,0.135,0.235,0.28300000000000003,0.738,0.685,0.841,0.539,0.10099999999999999,0.409,-0.92,1.9,5.0
9166,2021,Buster Posey,34,113,395,454,0.12300000000000001,0.192,0.64,0.39,0.499,0.889,0.195,0.349,0.252,0.465,0.284,0.205,0.348,0.419,0.23199999999999998,0.152,0.542,0.307,88.5,8.7,25,0.081,109.2,121,0.39,0.16699999999999998,0.266,0.272,0.687,0.695,0.825,0.564,0.099,0.41700000000000004,-0.32,-0.6,5.0
5361,2021,Freddie Freeman,31,159,600,695,0.122,0.154,0.79,0.393,0.503,0.896,0.203,0.321,0.244,0.43,0.325,0.193,0.376,0.368,0.257,0.11699999999999999,0.499,0.384,91.4,12.0,57,0.115,113.6,226,0.457,0.106,0.204,0.297,0.807,0.741,0.8440000000000001,0.573,0.098,0.42,-0.08,2.7,4.9
9218,2021,Paul Goldschmidt,33,158,603,679,0.099,0.2,0.49,0.365,0.514,0.879,0.221,0.331,0.235,0.36200000000000004,0.40299999999999997,0.163,0.39,0.373,0.237,0.121,0.466,0.413,92.6,17.1,64,0.136,112.2,237,0.502,0.187,0.285,0.282,0.6609999999999999,0.716,0.8109999999999999,0.5710000000000001,0.099,0.423,-1.79,0.5,4.9
18882,2021,Brandon Lowe,26,149,535,615,0.111,0.272,0.41,0.34,0.523,0.863,0.277,0.28,0.217,0.342,0.44,0.24100000000000002,0.431,0.324,0.245,0.17800000000000002,0.469,0.353,89.3,16.9,52,0.14,111.2,160,0.431,0.109,0.27,0.33799999999999997,0.794,0.546,0.7829999999999999,0.621,0.161,0.409,-0.34,2.6,4.9
18360,2021,Austin Riley,24,160,590,662,0.079,0.254,0.31,0.367,0.531,0.898,0.227,0.368,0.251,0.381,0.36700000000000005,0.209,0.41600000000000004,0.349,0.235,0.195,0.451,0.354,90.1,14.2,57,0.133,114.2,196,0.456,0.138,0.26899999999999996,0.34600000000000003,0.746,0.627,0.82,0.633,0.131,0.38799999999999996,-1.8,-3.2,4.8
13301,2021,Max Muncy,30,144,497,592,0.14,0.203,0.69,0.368,0.527,0.895,0.278,0.257,0.20600000000000002,0.381,0.413,0.231,0.439,0.344,0.217,0.127,0.479,0.39399999999999996,91.2,15.2,61,0.161,112.3,175,0.46299999999999997,0.2,0.28300000000000003,0.191,0.622,0.585,0.86,0.537,0.083,0.429,-0.43,1.1,4.8
18345,2021,Kyle Tucker,24,140,506,567,0.09300000000000001,0.159,0.59,0.359,0.557,0.917,0.263,0.304,0.217,0.33899999999999997,0.444,0.161,0.359,0.423,0.21899999999999997,0.102,0.506,0.392,91.4,17.6,49,0.11599999999999999,111.1,199,0.47,0.10300000000000001,0.198,0.308,0.826,0.696,0.884,0.58,0.095,0.41700000000000004,-0.83,0.0,4.7
19197,2021,Will Smith,26,130,414,501,0.11599999999999999,0.20199999999999999,0.57,0.365,0.495,0.86,0.237,0.274,0.222,0.315,0.46299999999999997,0.16699999999999998,0.374,0.386,0.24100000000000002,0.12,0.506,0.374,90.1,19.4,35,0.10800000000000001,108.6,142,0.43799999999999994,0.196,0.27899999999999997,0.247,0.644,0.6990000000000001,0.855,0.5770000000000001,0.083,0.43200000000000005,-0.78,-1.4,4.6
15172,2021,Tim Anderson,28,123,527,551,0.04,0.21600000000000003,0.18,0.338,0.469,0.806,0.159,0.372,0.22699999999999998,0.5529999999999999,0.22,0.18899999999999997,0.37200000000000005,0.35700000000000004,0.271,0.139,0.523,0.337,89.7,4.3,32,0.078,110.2,171,0.418,0.105,0.243,0.405,0.8190000000000001,0.63,0.8490000000000001,0.648,0.139,0.419,0.3,5.2,4.6
11739,2021,J.T. Realmuto,30,134,476,537,0.08900000000000001,0.24,0.37,0.343,0.439,0.782,0.176,0.325,0.203,0.46399999999999997,0.332,0.147,0.355,0.34700000000000003,0.298,0.17800000000000002,0.46399999999999997,0.358,89.6,11.5,30,0.086,111.2,156,0.447,0.146,0.267,0.331,0.723,0.6609999999999999,0.8140000000000001,0.622,0.122,0.418,0.88,3.6,4.6
13265,2021,Mike Zunino,30,109,333,375,0.091,0.35200000000000004,0.26,0.301,0.559,0.86,0.342,0.231,0.158,0.302,0.54,0.303,0.589,0.243,0.168,0.248,0.34700000000000003,0.406,90.7,23.2,49,0.243,117.3,94,0.465,0.155,0.325,0.315,0.6859999999999999,0.47100000000000003,0.746,0.5870000000000001,0.17,0.413,-1.31,0.9,4.5
18401,2021,Ronald Acuna Jr.,23,82,297,360,0.136,0.23600000000000002,0.58,0.394,0.596,0.99,0.313,0.311,0.23,0.313,0.456,0.242,0.47,0.336,0.19399999999999998,0.129,0.484,0.387,93.8,18.2,44,0.203,117.9,117,0.539,0.14800000000000002,0.255,0.239,0.6970000000000001,0.613,0.8170000000000001,0.531,0.107,0.41200000000000003,-0.09,2.2,4.4
13066,2021,Teoscar Hernandez,28,143,550,595,0.061,0.249,0.24,0.346,0.524,0.87,0.227,0.352,0.255,0.384,0.361,0.21899999999999997,0.426,0.319,0.255,0.129,0.505,0.366,91.8,13.1,56,0.139,115.7,197,0.488,0.125,0.27899999999999997,0.344,0.77,0.523,0.818,0.632,0.154,0.41100000000000003,0.18,0.3,4.3
12161,2021,Xander Bogaerts,28,144,529,603,0.10300000000000001,0.187,0.55,0.37,0.493,0.863,0.198,0.333,0.22699999999999998,0.4,0.374,0.146,0.456,0.312,0.23199999999999998,0.158,0.489,0.35200000000000004,89.6,12.5,41,0.09699999999999999,113.6,182,0.43,0.184,0.27699999999999997,0.341,0.634,0.7090000000000001,0.867,0.58,0.09300000000000001,0.397,-0.8,1.2,4.3
11493,2021,Manny Machado,28,153,564,640,0.098,0.159,0.62,0.347,0.489,0.836,0.211,0.29,0.203,0.39,0.40700000000000003,0.146,0.42700000000000005,0.35700000000000004,0.21600000000000003,0.154,0.43799999999999994,0.408,93.1,14.0,63,0.133,119.6,246,0.52,0.154,0.255,0.32899999999999996,0.71,0.637,0.897,0.606,0.10099999999999999,0.396,-0.24,-3.1,4.3
17350,2021,Rafael Devers,24,156,591,664,0.09300000000000001,0.215,0.43,0.352,0.538,0.89,0.259,0.307,0.205,0.41200000000000003,0.38299999999999995,0.221,0.364,0.395,0.242,0.17300000000000001,0.426,0.401,92.9,13.1,68,0.15,114.4,233,0.516,0.10800000000000001,0.247,0.361,0.797,0.669,0.7909999999999999,0.627,0.138,0.39899999999999997,0.8,1.8,4.2
5235,2021,Justin Turner,36,151,533,612,0.1,0.16,0.62,0.361,0.471,0.832,0.193,0.292,0.213,0.349,0.43799999999999994,0.14,0.345,0.358,0.297,0.113,0.48100000000000004,0.406,90.9,19.2,35,0.079,109.8,186,0.42200000000000004,0.168,0.239,0.28,0.684,0.741,0.898,0.5539999999999999,0.071,0.408,-0.02,-1.6,4.2
14128,2021,Joey Gallo,27,153,498,616,0.18,0.34600000000000003,0.52,0.351,0.458,0.808,0.259,0.246,0.16699999999999998,0.326,0.507,0.271,0.44799999999999995,0.32899999999999996,0.22399999999999998,0.15,0.47200000000000003,0.37799999999999995,91.5,22.7,53,0.185,115.1,130,0.455,0.158,0.306,0.221,0.675,0.43799999999999994,0.727,0.541,0.14800000000000002,0.39899999999999997,-0.92,1.9,4.2
18036,2021,Jake Cronenworth,27,152,567,643,0.086,0.14,0.61,0.34,0.46,0.8,0.194,0.283,0.217,0.42200000000000004,0.361,0.121,0.344,0.385,0.271,0.16399999999999998,0.54,0.29600000000000004,88.6,12.5,35,0.07200000000000001,110.8,169,0.34600000000000003,0.20199999999999999,0.256,0.26899999999999996,0.626,0.748,0.941,0.602,0.054000000000000006,0.44299999999999995,-0.93,1.5,4.2
12916,2021,Francisco Lindor,27,125,452,524,0.111,0.183,0.6,0.322,0.412,0.734,0.181,0.248,0.18600000000000003,0.39399999999999996,0.42,0.134,0.42700000000000005,0.34,0.233,0.14300000000000002,0.534,0.32299999999999995,90.7,14.4,30,0.08199999999999999,112.9,161,0.441,0.14,0.24600000000000002,0.299,0.722,0.6409999999999999,0.856,0.58,0.106,0.405,-0.55,1.0,4.2
14161,2021,Byron Buxton,27,61,235,254,0.051,0.244,0.21,0.358,0.647,1.005,0.34,0.344,0.215,0.401,0.384,0.28800000000000003,0.5379999999999999,0.266,0.19699999999999998,0.139,0.434,0.428,92.5,13.3,31,0.179,115.6,92,0.532,0.12300000000000001,0.271,0.34600000000000003,0.8,0.6,0.797,0.654,0.14800000000000002,0.405,0.24,1.9,4.1
13152,2021,Jorge Polanco,27,152,588,644,0.07,0.183,0.38,0.323,0.503,0.826,0.235,0.282,0.231,0.321,0.44799999999999995,0.158,0.527,0.284,0.18899999999999997,0.141,0.525,0.33399999999999996,89.4,19.3,48,0.10099999999999999,110.0,175,0.368,0.155,0.24600000000000002,0.33399999999999996,0.71,0.688,0.898,0.596,0.091,0.42200000000000004,1.45,2.0,4.1
16505,2021,Matt Chapman,28,151,529,622,0.129,0.325,0.4,0.314,0.403,0.716,0.193,0.272,0.146,0.336,0.518,0.155,0.408,0.375,0.217,0.196,0.503,0.301,89.7,18.6,46,0.13699999999999998,113.3,140,0.41700000000000004,0.17,0.302,0.266,0.693,0.617,0.75,0.598,0.132,0.423,0.14,0.9,4.1
17232,2021,Yoan Moncada,26,144,520,616,0.136,0.255,0.54,0.375,0.412,0.787,0.148,0.35,0.266,0.43799999999999994,0.29600000000000004,0.13,0.384,0.353,0.263,0.145,0.449,0.406,90.1,11.3,30,0.08199999999999999,113.8,148,0.406,0.177,0.287,0.272,0.655,0.5760000000000001,0.8440000000000001,0.555,0.11,0.402,-0.52,0.3,4.0
10472,2021,Enrique Hernandez,29,134,508,585,0.10400000000000001,0.188,0.55,0.337,0.449,0.786,0.199,0.278,0.212,0.326,0.462,0.107,0.47200000000000003,0.289,0.24,0.153,0.491,0.35600000000000004,90.8,17.9,34,0.084,111.3,175,0.43200000000000005,0.165,0.265,0.276,0.6890000000000001,0.602,0.878,0.585,0.099,0.41100000000000003,-1.3,2.1,4.0
13611,2021,Mookie Betts,28,122,466,550,0.124,0.156,0.79,0.367,0.487,0.854,0.223,0.276,0.21600000000000003,0.35100000000000003,0.434,0.138,0.483,0.29600000000000004,0.221,0.138,0.452,0.41,90.3,18.9,30,0.078,107.9,159,0.413,0.195,0.256,0.22899999999999998,0.6459999999999999,0.682,0.9309999999999999,0.5820000000000001,0.061,0.42,-1.45,-1.2,3.9
12979,2021,Javier Baez,28,138,502,547,0.051,0.336,0.15,0.319,0.494,0.813,0.229,0.352,0.185,0.47,0.345,0.282,0.442,0.35200000000000004,0.20600000000000002,0.19,0.442,0.368,90.1,10.6,43,0.134,116.7,145,0.45,0.106,0.32299999999999995,0.466,0.774,0.531,0.7340000000000001,0.647,0.217,0.33,-0.58,1.5,3.9
9777,2021,Nolan Arenado,30,157,593,653,0.077,0.147,0.52,0.312,0.494,0.807,0.239,0.249,0.188,0.313,0.498,0.135,0.498,0.31,0.193,0.177,0.486,0.337,89.0,20.0,34,0.068,110.6,187,0.371,0.163,0.242,0.33,0.674,0.7040000000000001,0.927,0.585,0.078,0.401,0.23,0.5,3.9
16556,2021,Ozzie Albies,24,156,629,686,0.069,0.187,0.37,0.31,0.488,0.799,0.229,0.278,0.201,0.314,0.485,0.122,0.435,0.313,0.252,0.142,0.51,0.348,89.6,21.1,47,0.09300000000000001,111.4,187,0.368,0.08800000000000001,0.221,0.385,0.8340000000000001,0.691,0.815,0.611,0.133,0.405,0.29,4.5,3.9
