IDfg,Season,Name,Age,G,AB,PA,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,LD%,GB%,FB%,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,CStr%,CSW%,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,F-Strike%,SwStr%,Zone%,Clutch,UBR,WAR
10155,2019,Mike Trout,27,134,470,600,0.183,0.2,0.92,0.438,0.645,1.083,0.353,0.298,0.266,0.243,0.49200000000000005,0.259,0.424,0.33299999999999996,0.243,0.13,0.43200000000000005,0.43799999999999994,90.9,22.2,62,0.175,116.6,155,0.43799999999999994,0.193,0.258,0.205,0.612,0.6920000000000001,0.888,0.525,0.065,0.401,-1.17,3.7,8.4
17678,2019,Alex Bregman,25,156,554,690,0.172,0.12,1.43,0.423,0.592,1.015,0.296,0.281,0.225,0.315,0.45899999999999996,0.18600000000000003,0.45299999999999996,0.363,0.184,0.14800000000000002,0.40299999999999997,0.449,89.3,19.6,22,0.046,107.4,178,0.37200000000000005,0.204,0.25,0.188,0.588,0.77,0.917,0.552,0.046,0.406,-1.11,-3.4,8.2
15998,2019,Cody Bellinger,23,156,558,660,0.14400000000000002,0.16399999999999998,0.88,0.406,0.629,1.035,0.324,0.302,0.262,0.315,0.424,0.24600000000000002,0.479,0.32299999999999995,0.198,0.132,0.376,0.49200000000000005,91.1,17.9,57,0.126,110.6,207,0.456,0.149,0.24600000000000002,0.268,0.7040000000000001,0.695,0.83,0.539,0.09699999999999999,0.40399999999999997,-0.73,-0.1,7.8
11477,2019,Christian Yelich,27,130,489,580,0.138,0.203,0.68,0.429,0.671,1.1,0.342,0.355,0.209,0.43200000000000005,0.359,0.32799999999999996,0.39299999999999996,0.374,0.233,0.14400000000000002,0.348,0.508,93.3,11.3,59,0.158,117.9,182,0.48700000000000004,0.14,0.258,0.307,0.7120000000000001,0.568,0.87,0.5479999999999999,0.11800000000000001,0.359,0.49,3.2,7.1
12861,2019,Anthony Rendon,29,146,545,646,0.124,0.133,0.93,0.412,0.598,1.01,0.279,0.323,0.212,0.331,0.457,0.159,0.42100000000000004,0.32899999999999996,0.25,0.16899999999999998,0.385,0.447,90.4,19.6,51,0.109,107.7,218,0.466,0.172,0.223,0.23800000000000002,0.701,0.778,0.932,0.5760000000000001,0.051,0.419,0.53,0.9,6.8
17350,2019,Rafael Devers,22,156,647,702,0.068,0.17,0.4,0.361,0.555,0.916,0.244,0.339,0.213,0.444,0.34299999999999997,0.177,0.42100000000000004,0.302,0.27699999999999997,0.177,0.447,0.376,92.5,10.4,43,0.081,115.0,252,0.475,0.113,0.23399999999999999,0.405,0.762,0.7190000000000001,0.826,0.611,0.121,0.40399999999999997,-1.13,2.8,6.7
9777,2019,Nolan Arenado,28,155,588,662,0.094,0.14,0.67,0.379,0.583,0.962,0.269,0.312,0.193,0.36,0.447,0.182,0.425,0.344,0.231,0.16899999999999998,0.406,0.425,89.4,17.6,34,0.068,109.9,189,0.376,0.126,0.22699999999999998,0.379,0.733,0.695,0.893,0.619,0.10099999999999999,0.38299999999999995,0.37,3.3,6.5
12533,2019,Marcus Semien,28,162,657,747,0.11599999999999999,0.13699999999999998,0.85,0.369,0.522,0.892,0.237,0.294,0.2,0.41100000000000003,0.389,0.153,0.441,0.315,0.245,0.149,0.434,0.41700000000000004,88.9,14.9,41,0.07400000000000001,108.2,209,0.376,0.179,0.251,0.231,0.687,0.6829999999999999,0.897,0.632,0.07200000000000001,0.418,-0.9,4.2,6.5
13611,2019,Mookie Betts,26,150,597,706,0.13699999999999998,0.14300000000000002,0.96,0.391,0.524,0.915,0.229,0.309,0.248,0.315,0.43799999999999994,0.131,0.436,0.337,0.228,0.115,0.455,0.43,91.0,19.2,47,0.09300000000000001,109.3,237,0.469,0.20600000000000002,0.257,0.214,0.615,0.7190000000000001,0.937,0.551,0.051,0.423,1.0,4.3,6.4
12564,2019,Trevor Story,26,145,588,656,0.08800000000000001,0.265,0.33,0.363,0.554,0.917,0.26,0.361,0.243,0.33399999999999996,0.423,0.19899999999999998,0.396,0.321,0.28300000000000003,0.122,0.439,0.439,91.0,17.5,32,0.077,111.8,192,0.46,0.141,0.26,0.315,0.72,0.601,0.848,0.579,0.11900000000000001,0.408,-0.71,2.6,6.3
