IDfg,Season,Name,Age,G,AB,PA,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,LD%,GB%,FB%,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,CStr%,CSW%,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,F-Strike%,SwStr%,Zone%,Clutch,UBR,WAR
15640,2022,Aaron Judge,30,157,570,696,0.159,0.251,0.63,0.425,0.686,1.111,0.375,0.34,0.193,0.373,0.435,0.35600000000000004,0.475,0.318,0.20800000000000002,0.075,0.445,0.48,95.8,14.9,106,0.262,118.4,246,0.609,0.16899999999999998,0.287,0.26899999999999996,0.6759999999999999,0.517,0.852,0.579,0.11800000000000001,0.385,-1.43,0.4,11.6
11493,2022,Manny Machado,29,150,578,644,0.098,0.207,0.47,0.366,0.531,0.898,0.234,0.337,0.20600000000000002,0.37799999999999995,0.41600000000000004,0.172,0.41200000000000003,0.33799999999999997,0.251,0.163,0.456,0.38,91.5,16.0,44,0.098,112.4,219,0.49,0.126,0.243,0.342,0.77,0.643,0.856,0.629,0.11800000000000001,0.38799999999999996,1.49,0.9,7.5
9777,2022,Nolan Arenado,31,148,557,620,0.084,0.11599999999999999,0.72,0.358,0.533,0.891,0.241,0.29,0.204,0.297,0.499,0.12300000000000001,0.479,0.325,0.196,0.2,0.48100000000000004,0.319,88.7,21.7,40,0.08199999999999999,111.4,190,0.389,0.155,0.24100000000000002,0.361,0.68,0.721,0.9079999999999999,0.613,0.086,0.386,-0.39,-0.4,7.2
5361,2022,Freddie Freeman,32,159,612,708,0.11900000000000001,0.14400000000000002,0.82,0.407,0.511,0.918,0.186,0.359,0.275,0.387,0.33799999999999997,0.12,0.364,0.337,0.3,0.122,0.509,0.369,91.3,13.6,52,0.10099999999999999,112.3,248,0.48,0.122,0.20600000000000002,0.313,0.7609999999999999,0.75,0.88,0.595,0.084,0.401,-1.45,2.0,7.1
9218,2022,Paul Goldschmidt,34,151,561,651,0.121,0.217,0.56,0.404,0.578,0.981,0.26,0.368,0.18899999999999997,0.40299999999999997,0.408,0.20199999999999999,0.377,0.363,0.259,0.151,0.512,0.337,90.7,15.7,49,0.115,112.3,200,0.47,0.196,0.295,0.276,0.617,0.677,0.818,0.599,0.099,0.41200000000000003,-1.84,0.6,7.0
19556,2022,Yordan Alvarez,25,135,470,561,0.139,0.18899999999999997,0.74,0.406,0.613,1.019,0.306,0.32,0.21600000000000003,0.391,0.39399999999999996,0.253,0.39399999999999996,0.396,0.21,0.092,0.466,0.442,95.2,12.3,78,0.21,117.4,222,0.598,0.165,0.256,0.275,0.6679999999999999,0.625,0.8959999999999999,0.5379999999999999,0.09,0.385,-0.6,0.7,6.7
5417,2022,Jose Altuve,32,141,527,604,0.109,0.14400000000000002,0.76,0.387,0.533,0.921,0.233,0.315,0.204,0.41,0.387,0.168,0.519,0.318,0.163,0.177,0.522,0.302,85.9,16.1,34,0.077,109.8,130,0.295,0.17300000000000001,0.24100000000000002,0.314,0.65,0.768,0.91,0.619,0.068,0.369,-0.4,-2.4,6.6
13611,2022,Mookie Betts,29,142,572,639,0.086,0.163,0.53,0.34,0.533,0.873,0.264,0.272,0.18600000000000003,0.337,0.47700000000000004,0.156,0.45299999999999996,0.337,0.21,0.12300000000000001,0.494,0.384,90.5,18.6,46,0.098,109.0,211,0.447,0.17300000000000001,0.239,0.26,0.696,0.6759999999999999,0.9390000000000001,0.617,0.067,0.41700000000000004,0.89,2.7,6.6
12916,2022,Francisco Lindor,28,161,630,706,0.084,0.188,0.44,0.339,0.449,0.788,0.179,0.301,0.179,0.431,0.39,0.133,0.433,0.327,0.24,0.191,0.498,0.312,89.3,13.8,42,0.083,110.7,207,0.41100000000000003,0.154,0.254,0.33799999999999997,0.69,0.667,0.8809999999999999,0.5820000000000001,0.1,0.396,1.37,1.9,6.6
11739,2022,J.T. Realmuto,31,139,504,562,0.073,0.212,0.34,0.342,0.478,0.82,0.202,0.318,0.19699999999999998,0.444,0.359,0.157,0.392,0.336,0.272,0.154,0.503,0.344,90.3,13.1,44,0.113,110.4,182,0.467,0.155,0.26899999999999996,0.35,0.6920000000000001,0.6659999999999999,0.84,0.5770000000000001,0.115,0.41,-1.0,3.1,6.5
13510,2022,Jose Ramirez,29,157,601,685,0.10099999999999999,0.12,0.84,0.355,0.514,0.869,0.235,0.279,0.17,0.324,0.506,0.109,0.466,0.326,0.20800000000000002,0.19899999999999998,0.51,0.292,87.7,20.7,35,0.066,114.2,193,0.366,0.157,0.221,0.32299999999999995,0.679,0.78,0.9229999999999999,0.517,0.064,0.38799999999999996,-0.14,2.8,6.4
16252,2022,Trea Turner,29,160,652,708,0.064,0.185,0.34,0.343,0.466,0.809,0.169,0.342,0.214,0.429,0.35700000000000004,0.11199999999999999,0.45399999999999996,0.32799999999999996,0.218,0.163,0.522,0.315,88.9,10.2,40,0.076,112.5,219,0.414,0.142,0.27,0.364,0.745,0.607,0.8590000000000001,0.634,0.128,0.38799999999999996,1.14,1.7,6.4
18314,2022,Dansby Swanson,28,162,640,696,0.07,0.261,0.27,0.329,0.447,0.776,0.17,0.348,0.212,0.387,0.4,0.135,0.39799999999999996,0.35100000000000003,0.251,0.134,0.526,0.34,90.2,15.7,50,0.10800000000000001,109.6,213,0.461,0.149,0.28800000000000003,0.314,0.746,0.5710000000000001,0.804,0.675,0.139,0.419,0.39,3.2,6.4
19950,2022,Andres Gimenez,23,146,491,557,0.061,0.201,0.3,0.371,0.466,0.837,0.169,0.353,0.21100000000000002,0.462,0.327,0.14,0.409,0.358,0.233,0.18100000000000002,0.562,0.257,87.8,11.7,24,0.062,109.9,145,0.376,0.147,0.27699999999999997,0.408,0.703,0.655,0.8390000000000001,0.632,0.13,0.39899999999999997,2.07,0.4,6.2
10155,2022,Mike Trout,30,119,438,499,0.10800000000000001,0.27899999999999997,0.39,0.369,0.63,0.999,0.347,0.323,0.187,0.247,0.5670000000000001,0.235,0.41700000000000004,0.313,0.27,0.13699999999999998,0.47700000000000004,0.387,91.6,24.6,59,0.19699999999999998,114.4,151,0.503,0.17300000000000001,0.29100000000000004,0.263,0.679,0.607,0.7959999999999999,0.557,0.11800000000000001,0.41100000000000003,0.02,-0.9,6.0
12161,2022,Xander Bogaerts,29,150,557,631,0.09,0.187,0.48,0.377,0.456,0.833,0.149,0.362,0.217,0.46399999999999997,0.318,0.106,0.39899999999999997,0.345,0.256,0.157,0.5379999999999999,0.305,88.1,10.2,29,0.065,113.0,176,0.395,0.18600000000000003,0.292,0.319,0.66,0.6609999999999999,0.846,0.609,0.106,0.405,0.01,4.4,6.0
